Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01,39.574160509454664,40.916788888814054,39.074159868793735,40.149014245903366,19849564,0.0,0.0
2015-01-02,40.04332199907964,40.261445190286864,40.13202826448668,40.14012675459739,13066465,0.0,0.0
2015-01-05,40.739316961358455,40.3709724534243,40.23087403242804,40.36702376212189,15179581,0.0,0.0
2015-01-06,41.177494024037834,41.22349028773687,40.28731226914128,40.85652045931598,15822621,0.0,0.0
2015-01-07,40.68372432645373,41.22807156249477,39.02140507719579,40.818858128635675,14927265,0.0,0.0
2015-01-08,40.89005441282247,41.23030258849604,40.1246213105355,40.78119531227889,13438945,0.0,0.0
2015-01-09,40.87520549434952,41.33831157524152,41.02193958631188,41.28753066449487,18991901,0.0,0.0
2015-01-12,41.902070549995024,41.835326713705896,41.29115214373186,41.55032447588251,16905909,0.0,0.0
2015-01-13,41.40312536847304,42.347019704691256,41.06892537575151,41.44203608654128,17862084,0.0,0.0
2015-01-14,41.4993714832819,42.077353960276746,41.03906096534341,41.63734720912997,12823732,0.0,0.0
2015-01-15,41.34999092573836,42.022405801317014,40.404779999754965,41.530852843785055,14511450,0.0,0.0
2015-01-16,41.39220441037662,41.47573741895667,41.10914787015435,41.42365134382655,14858839,0.0,0.0
2015-01-19,41.30480376397941,42.4073615079932,40.87090811761778,41.52874258644539,16892396,0.0,0.0
2015-01-20,41.316316379531685,41.23917058232746,40.82927277014026,40.98724486153041,15327825,0.0,0.0
2015-01-21,40.30459652683446,41.025378116879914,40.31521979921848,40.50223830084255,20171994,0.0,0.0
2015-01-22,41.162483974016666,41.21572844975749,39.11371168038047,40.36600192600297,19240428,0.0,0.0
2015-01-23,40.82718747583751,40.51431432627605,39.25391582377718,40.09458222409682,13390481,0.0,0.0
2015-01-26,39.77549271998941,40.48856132606779,39.49572725007727,40.22126446491666,14160792,0.0,0.0
2015-01-27,40.016094482718806,40.268803216010454,39.873344347843314,39.981242348004166,14604316,0.0,0.0
2015-01-28,39.26458375658627,39.76603306355568,39.09236750899943,39.58991206725437,24853810,0.0,0.0
2015-01-29,39.89861813052618,40.340283147559305,40.000650315922314,40.06194191212049,16070448,0.0,0.0
2015-01-30,41.02773101666384,40.144971117042324,39.52072261940073,40.026517282841446,20209999,0.0,0.0
2015-02-02,39.925270006957554,40.266210080530065,39.6276416361021,40.07905571551545,11462796,0.0,0.0
2015-02-03,39.863994625245624,40.69579521454398,39.29432615571569,39.68388160670691,14006917,0.0,0.0
2015-02-04,39.82344682632618,40.18852393705599,38.976072759521685,39.55278617932204,13595663,0.0,0.0
2015-02-05,39.1179353718331,39.73153978594532,39.61034346250429,39.61825005807472,12790251,0.0,0.0
2015-02-06,38.87755773219889,39.86008014425146,38.951464451061625,39.30510546940349,15762026,0.0,0.0
2015-02-09,38.84692222930001,40.06092840365749,38.5275227675761,39.449933415004075,13597805,0.0,0.0
2015-02-10,38.85883871159858,39.536412962244036,38.81878111796128,39.30182407854747,13282521,0.0,0.0
2015-02-11,37.82134557690577,40.31149097398344,38.99681883912551,39.246360631564364,18752733,0.0,0.0
2015-02-12,39.37014561290758,39.22573131261021,38.531453980903066,39.09785441251076,19413911,0.0,0.0
2015-02-13,40.71260032127994,40.19008508800272,39.36489989050519,39.68550340065191,20786134,0.0,0.0
2015-02-16,39.78728858758944,40.10182800803864,39.435329679536494,39.71337821807117,16711370,0.0,0.0
2015-02-17,38.71981163292921,40.072375951964936,38.55088060966135,39.42794606259951,16705389,0.0,0.0
2015-02-18,39.385158295213,40.173949264453505,39.21953632528106,39.70654648666298,14901910,0.0,0.0
2015-02-19,39.1426464382498,39.59090000525159,38.702465885373975,39.3720848607623,13812835,0.0,0.0
2015-02-20,38.95769623252117,40.298580542657554,39.22230214769092,39.46648862112786,16561005,0.0,0.0
2015-02-23,39.34037549466604,38.91939988265336,38.479140231772796,38.91028417546846,14260131,0.0,0.0
2015-02-24,38.948605583826584,39.06512903460397,37.602819195547504,38.543475561638914,13852280,0.0,0.0
2015-02-25,38.056404548265895,39.16018600531787,37.462015223100366,38.634130445174726,18912014,0.0,0.0
2015-02-26,39.249755471687834,39.77342575708292,38.15659763985669,38.88721494946408,21967369,0.0,0.0
2015-02-27,39.733523022053674,39.26870109968081,38.514739523855795,38.970116690265044,16594394,0.0,0.0
2015-03-02,39.91813800253111,39.56923622389142,38.807627808045545,38.96685889991633,18335660,0.0,0.0
2015-03-03,40.34051465005338,39.29183313931841,38.66426823489238,38.9079086385104,14557206,0.0,0.0
2015-03-04,38.044679435116116,38.989108650884084,37.807900936825384,38.49567575983772,13048141,0.0,0.0
2015-03-05,39.72309802174441,38.93848380373357,37.840564300600974,38.31098780854681,17759954,0.0,0.0
2015-03-06,38.02689861208009,38.71416706328512,37.57815906311486,38.20400180633448,17242797,0.0,0.0
2015-03-09,38.25605042200158,38.65165513295148,38.235438143286785,38.55228314969184,16956412,0.0,0.0
2015-03-10,38.84998727806165,39.00750098456425,37.911254457182665,38.686451090622725,14943713,0.0,0.0
2015-03-11,37.89752734540817,38.86197195439518,37.77375204738986,38.18855801245468,20376097,0.0,0.0
2015-03-12,38.51625949596285,38.8311797675014,37.57487265138412,38.31673742563959,12683697,0.0,0.0
2015-03-13,37.572062367291124,38.574600304216524,36.74798300384502,38.23210096115977,13101840,0.0,0.0
2015-03-16,37.940469024194435,38.60125500055505,37.37492495489465,38.05984532522615,12836958,0.0,0.0
2015-03-17,38.916891788920154,38.540032735573085,37.87284283591568,38.27410067173931,16326195,0.0,0.0
2015-03-18,38.585552593554524,39.40594483514324,38.376721749179104,38.6140832392701,13436233,0.0,0.0
2015-03-19,38.99487688939819,39.41929499687172,38.46670625106829,38.92407899602825,14497252,0.0,0.0
